cast,revenue,movies,return
Alan Bergmann,11466088.0,1,0.20847432727272727
Alan Blumenfeld,177287371.0,3,5.9080424493464045
Alan Boyce,27354.0,1,0.0
Alan C. Peterson,56932305.0,1,1.0351328181818182
Alan Cappelli Goetz,55969000.0,1,1.11938
Alan Carney,0.0,1,0.0
Alan Chan Kwok-Kuen,0.0,1,0.0
Alan Charof,179033791.0,1,6.630881148148148
Alan Chui Chung-San,0.0,1,0.0
Alan Chuntz,45300000.0,1,8.38888888888889
Alan Coates,14048372.0,1,0.56193488
Alan Cullen,300218018.0,1,5.458509418181818
Alan Cumming,2195226879.0,9,3.4989985512797324
Alan D. Purwin,873260194.0,1,3.493040776
Alan Dale,1568715431.0,3,3.1928254484190077
Alan Davis,0.0,1,0.0
Alan Dellay,12534817.0,1,0.0
Alan Deveau,0.0,2,0.0
Alan Dinehart,0.0,1,0.0
Alan Douglas,0.0,1,0.0
Alan Fawcett,0.0,1,0.0
Alan Flyng,538400000.0,1,29.91111111111111
Alan Ford,78000586.0,1,0.975007325
Alan Fudge,47000000.0,1,15.666666666666666
Alan Gates,114194847.0,1,9.51623725
Alan Gelfant,17917287.0,1,1.3782528461538461
Alan Gifford,68700000.0,2,3.2714285714285714
Alan Grice,0.0,1,0.0
Alan Harris,1313798007.0,2,50.20091951010101
Alan Hewitt,0.0,1,0.0
Alan Hopgood,0.0,1,0.0
Alan Howard,871368364.0,1,9.369552301075268
Alan J. Utley-Moore,1045713802.0,1,2.7518784263157894
Alan King,347325802.0,1,3.8591755777777776
Alan Mandel,809342332.0,1,4.496346288888889
Alan Marshal,0.0,2,0.0
Alan McKenna,7171.0,1,0.0
Alan McRae,0.0,3,0.0
Alan Mowbray,0.0,4,0.0
Alan Mueting,34560577.0,1,1.72802885
Alan Napier,4000000.0,6,4.975124378109453
Alan North,5900000.0,1,0.36875
Alan O'Silva,0.0,1,0.0
Alan Oppenheimer,20158808.0,3,0.24887417283950616
Alan Parnaby,0.0,1,0.0
Alan Pietruszewski,604942143.0,1,2.32670055
Alan Polonsky,183316455.0,1,9.908997567567567
Alan Rachins,20350754.0,1,0.4522389777777778
Alan Reed,93600000.0,1,0.0
Alan Resnic,183293131.0,1,7.049735807692308
Alan Rickman,9172996575.0,11,5.916964605782257
